# Yb+: S1/2->D5/2 (Door2024);	Yb+:S1/2->D3/2 (Counts2020);	    Yb+:S1/2->F7/2 (Door2024);	    Yb:1S0->2D2 (Figueroa2022);    # Yb:1S0->3P0 (Ono2021)
5.3    370    15.7       710    2.2
4.9    390    15.7	 300	2.8
4.8    220    15.7	 240	2.1
4.7    24     15.7	 310	2.9
