# mphi[eV]; Yb X-coefficients [Hz]:	Yb+:S1/2->D5/2;	Yb+:S1/2->D3/2;	Yb+:S1/2->F7/2;	Yb:1S0->2D2;	Yb:1S0->3P0;
4.4668359215	-31511231446947.1	-35506697305052.5	257930436878528	-4112569058745.66	31335885095327.1
4.5708818961	-31510929602981	-35506403833559.6	257914212826045	-4113048085716.04	31334669854390.5
4.6773514129	-31510613279534.5	-35506095624440.5	257897446531088	-4113544021582.7	31333407306275.4
4.7863009232	-31510282595240.8	-35505772771020.4	257880152208198	-4114056477231.81	31332098292393.2
4.8977881937	-31509937668733.4	-35505435366624.9	257862344071912	-4114585063549.06	31330743654155.7
5.0118723363	-31509578618645.7	-35505083504579	257844036336772	-4115129391420.62	31329344232974.6
5.1286138399	-31509205563611.3	-35504717278208.4	257825243217315	-4115689071732.36	31327900870261.8
5.2480746025	-31508818622263.7	-35504336780838.2	257805978928083	-4116263715370.18	31326414407429.1
5.3703179637	-31508417913236	-35503942105793.9	257786257683614	-4116852933220.28	31324885685887.9
5.4954087386	-31508003555162	-35503533346400.8	257766093698449	-4117456336168.41	31323315547050.4
5.6234132519	-31507575666675	-35503110595984.2	257745501187126	-4118073535100.67	31321704832328
5.7543993734	-31507134366408.3	-35502673947869.5	257724494364185	-4118704140902.93	31320054383132.6
5.8884365536	-31506679772995.6	-35502223495382.3	257703087444166	-4119347764461.14	31318365040876.1
6.0255958607	-31506212005070.2	-35501759331847.4	257681294641608	-4120004016661.33	31316637646970
6.1659500186	-31505731181265.5	-35501281550590.5	257659130171051	-4120672508389.48	31314873042826.2
6.3095734448	-31505237420215.1	-35500790244937	257636608247035	-4121352850531.43	31313072069856.3
6.4565422903	-31504730840552.3	-35500285508212.2	257613743084098	-4122044653973.33	31311235569472.3
6.6069344801	-31504211560910.6	-35499767433741.3	257590548896781	-4122747529601.08	31309364383085.7
6.7608297539	-31503679699923.4	-35499236114849.8	257567039899622	-4123461088300.64	31307459352108.3
6.9183097092	-31503135376224.3	-35498691644862.9	257543230307162	-4124184940957.91	31305521317952
7.0794578438	-31502578708446.5	-35498134117106.3	257519134333941	-4124918698458.77	31303551122028.6
7.2443596007	-31502009815223.6	-35497563624904.9	257494766194497	-4125661971689.39	31301549605749.7
7.413102413	-31501428815189.1	-35496980261584.4	257470140103370	-4126414371535.68	31299517610526.9
7.5857757503	-31500835826976.2	-35496384120469.9	257445270275100	-4127175508883.63	31297455977772.3
7.7624711663	-31500230969218.6	-35495775294887	257420170924226	-4127944994619.12	31295365548897.3
7.9432823472	-31499614360549.6	-35495153878160.8	257394856265287	-4128722439628.13	31293247165314
8.1283051616	-31498986119602.7	-35494519963616.9	257369340512825	-4129507454796.72	31291101668433.9
