# isotope shifts [Hz]. Ca+:4^2S1/2->3^2D5/2 (Knollman2019), Ca+:3^2D3/2->3^2D5/2 (Doret2024), Ca+:4s^2S1/2->4p^2P1/2 (Gebert2021), Ca+:3d^2D3/2->4p^2P1/2 (Gebert2021)
2771872467.6	-3519910  	425706000	  -2349974000
5340887394.6	-6792440  	849534000	  -4498883000
9990381870	    -12746600 	1705389000    -8297769000
