# mphi[eV]	Xcoeffs[Hz amu]: Ca+:S1/2-D5/2	Ca+:D3/2-D5/2
1.023292992280753433e+00 -8.774465210406260000e+14 4.203299297041039551e+12
3.235936569296280929e+00 -8.774436080364285000e+14 4.203260783732297852e+12
1.023292992280754277e+01 -8.774151179649467500e+14 4.202913614547980957e+12
3.235936569296282528e+01 -8.771367739065095000e+14 4.199730054044948730e+12
1.023292992280754845e+02 -8.745125135654803750e+14 4.173757496118783691e+12
3.235936569296284233e+02 -8.521354845114536250e+14 4.018763420071497559e+12
1.023292992280754788e+03 -7.040187249309458750e+14 3.411068831160994141e+12
3.235936569296284688e+03 -1.979289612056747500e+14 1.738901561612707520e+12
1.023292992280753606e+04 2.284829967368175938e+14 -2.078361687930951233e+11
3.235936569296280868e+04 1.708765494852327500e+14 -5.254501534331652222e+11
1.023292992280753533e+05 6.244427085039144531e+13 -1.564835214684649048e+11
3.235936569296281086e+05 1.734205120139941602e+13 -2.998194378607476425e+10
1.023292992280753562e+06 2.924703788052502930e+12 -4.530735752533822060e+09
3.235936569296280853e+06 3.603861459855850220e+11 -5.450784021749746799e+08
1.023292992280753516e+07 3.931671831473692322e+10 -5.910603237593090534e+07
3.235936569296280667e+07 4.111101219078086376e+09 -6.169426256875336170e+06
