# Yb+/Yb0 Info (AME2020): A, mA, sigma(mA), Ap, mAp, sigma(mAp),
168         	170         	172
167.93389130	169.934767243	171.936386654
1.e-7	        1.1e-8	        1.5e-8
170	        172	        174
169.934767243	171.936386654	173.938867546
1.1e-8      	1.5e-8      	1.2e-8
